"","revenue","cost.price","material.expenditures","labor.expenses","labor.costs","social.taxes","depreciation","other.expenditures","selling.expenses","management.expenses","full.cost.price","Income","other.i.e","net.profit","assets","capital.assets","fixed.assets","intangible.assets","current.assets","stock","raw.materials","unfinished.production","receivables","accounts.payable","cash","mobile.working.capital","short.term.investments","VAT.purchased","short.term.receivables","working.capital","charter.capital","short.term.liabilities","long.term.liabilities","borrowed.capital","revenue.of.the.future.periods","future.expenses","Dso","DSp","DSv","dDS","tax.on.profits","VAT","Social.tax","sector"
"1",-0.539743662443424,-0.63454304151297,-0.5360117329465,-0.573664593062144,-0.578361213936837,-0.54718241569428,-0.55659900012975,-0.480239201228815,-0.598450521447963,-0.600425032128994,-0.575450398498617,-0.552018366811824,-0.531793894530672,-0.226964692820797,-0.493269658027044,-0.591657703104452,-0.596550419306435,-0.588853278191677,-0.190785458513208,-0.55300801536467,-0.519940951650062,-0.480059630822606,-0.247659207874635,-0.490506721189598,-0.0210973440852426,-0.515433108849886,1.51218722222431,-0.597360724286452,-0.0157256925400387,0.363029513790979,-0.510199823450176,-0.531429074603004,NA,-0.546966251987664,-0.55772613031308,-0.69316146398132,-0.15992289252413,-0.551223723066825,-0.527770962375499,-0.564835672133227,-0.303360616125534,-0.559522753537348,-0.602384744667852,1.46600873214505
"2",-0.543891879778864,-0.549716430114957,-0.524999824013247,-0.633374848447957,-0.563995961584963,-0.53002789680744,-0.579211471046633,-0.515052535867112,-0.598450521447963,-0.600425032128994,-0.565079774084387,-0.546467874078489,-0.540637741480025,-0.206258712340024,-0.518669601353732,-0.595529979459567,-0.597788242174373,-0.58769884671505,-0.106634386829704,-0.603343923691471,-0.548083234817159,-0.518867683425142,-0.248911419036936,-0.462417976514749,0.141935021601433,-0.598207751142247,1.81343601017225,-0.592701578973265,-0.0443453058811111,0.277493584960974,-0.481244534201815,-0.514792778285802,NA,-0.5463025647536,-0.55772613031308,-0.69316146398132,-0.128993557806495,-0.575619989960048,-0.549566137821618,-0.579943076857602,-0.354073313176844,-0.545144367621757,-0.513342615065127,1.46600873214505
"3",-0.555779639620506,-0.564299478098408,-0.545697505851888,-0.576510466667579,-0.556963079681105,-0.666561980951863,-0.573568724635442,-0.41645417792267,-0.598450521447963,-0.600425032128994,-0.573645812009296,-0.562167839450686,-0.565080192186844,-0.0768153770928831,-0.53371148906086,-0.593407640292385,-0.598517406395629,-0.589080623959399,-0.101415146188282,-0.56386037648933,-0.568505477406995,-0.533894332328176,-0.0781884547996089,-0.422964225794538,-0.105283182107779,-0.574031052429576,1.17428695682965,-0.60128865502608,-0.0730362192138117,0.139415194040419,-0.474729989501446,-0.509657529647375,NA,-0.493769728875079,-0.55772613031308,-0.69316146398132,-0.0857523282522111,-0.565365268760834,-0.548538838808122,-0.566049370609046,-0.0493015553619401,-0.535310895698333,-0.506406718001106,1.46600873214505
"4",-0.560915831673106,-0.545829102047674,-0.540894678805879,-0.57575929707473,-0.58290263995611,-0.556767876048394,-0.569775369250298,-0.696366969896316,-0.598450521447963,-0.600425032128994,-0.568931772773449,-0.552930404686918,-0.553665176527723,-0.166348741290693,-0.511975178293508,-0.591795360122588,-0.59537394008184,-0.588351261519927,-0.162976071698096,-0.55330157882569,-0.537073655979319,-0.506631066593387,-0.185372659739326,-0.435742428542258,-0.0455771828053752,-0.561174061607351,1.71182225219568,-0.594904800975812,-0.0540886159129203,0.280051199332532,-0.527070664476266,-0.532079469924307,NA,-0.527270124834871,-0.55772613031308,-0.69316146398132,-0.20613919830161,-0.556991544481134,-0.547563970949477,-0.579362784128601,-0.407028866151218,-0.524630581833443,-0.55573032996121,1.46600873214505
"5",-0.546434724722687,-0.520919374440015,-0.534128460478596,-0.587336514059985,-0.564863079083412,-0.546524893356471,-0.55507118585008,-0.449353293517217,-0.598450521447963,-0.600425032128994,-0.574548004068526,-0.552063267312325,-0.543668237060033,-0.265264035973392,-0.511375289724055,-0.593284140569978,-0.596204128189285,-0.590013768988526,-0.0930175532090643,-0.568221187251707,-0.573876715770525,-0.521938684035837,-0.357241901904743,-0.394665720315962,0.175859046134666,-0.565502789515346,1.7812196106632,-0.591673807525142,-0.083152532495879,0.481978875607994,-0.497236299243289,-0.537044901769174,NA,-0.518896038888013,-0.55772613031308,-0.69316146398132,-0.0326999580901892,-0.55899786410663,-0.558591138463465,-0.567090924682568,-0.180980720036603,-0.521432150233126,-0.523218053318889,1.46600873214505
"6",-0.559748841262812,-0.549451454343938,-0.545167717688789,-0.577527310817428,-0.550506816004111,-0.531352512793685,-0.568152994457418,-0.423043925786381,-0.598450521447963,-0.600425032128994,-0.564255329314553,-0.542726359953146,-0.552844236112697,-0.150650087897272,-0.522170006100126,-0.594697311267165,-0.595909100792177,-0.58927483674044,-0.202367597118604,-0.569372658620473,-0.522800591573486,-0.491020512939455,-0.0223532571996355,-0.370467223349837,0.0782742841767127,-0.580489227375535,1.33846573955354,-0.597788790626104,-0.161090356312976,0.122746206323129,-0.48877500922422,-0.508777960956611,NA,-0.500340191191461,-0.55772613031308,-0.69316146398132,-0.0742438455208144,-0.555528629529562,-0.536890338481098,-0.572269479650287,-0.238648253642058,-0.564985896360585,-0.542533157658429,1.46600873214505
"7",-0.563045437418523,-0.57128418022099,-0.561928961406556,-0.562976807341863,-0.557369170415217,-0.521309369295239,-0.573734864477842,-0.452411083643898,-0.598450521447963,-0.600425032128994,-0.571390388383444,-0.573841210124523,-0.564930619118908,-0.196471652981712,-0.507130810205767,-0.594332290208347,-0.596317822813394,-0.589959793540369,-0.27317754670345,-0.560976541757143,-0.52622718263517,-0.474027690950254,-0.1196878286814,-0.45796447590546,0.161156081145063,-0.504026146114048,1.72805556934471,-0.604210387073467,-0.180169553436961,0.294278065415901,-0.461294155244013,-0.519545046467887,NA,-0.529144902705246,-0.55772613031308,-0.69316146398132,-0.090949422848287,-0.557888328282579,-0.547927857493359,-0.564619390458649,-0.188404697395016,-0.557357397540464,-0.559379563678885,1.46600873214505
"8",-0.55298552260959,-0.555262905593063,-0.565016740522122,-0.545899484172439,-0.572563945110442,-0.575255237377256,-0.58812360840118,-0.428355487257961,-0.598450521447963,-0.600425032128994,-0.571523290288391,-0.55538448368526,-0.551728408426729,-0.212988690536681,-0.538820463924195,-0.593723346854834,-0.596933830696052,-0.589587618381698,0.0793801731886899,-0.582505254773594,-0.55914383678049,-0.528750197099884,-0.214857667285765,-0.453614342664602,0.0924589815639348,-0.571548002798531,3.14913135386142,-0.594773145624506,-0.147954503521314,0.24712911134923,-0.503265562077199,-0.517670539811299,NA,-0.497465556676362,-0.55772613031308,-0.69316146398132,0.053044378928971,-0.558901672598588,-0.560702640048803,-0.565536400710267,-0.174756487833185,-0.503535659496899,-0.504733974395016,1.46600873214505
"9",-0.565258881265498,-0.555886288221786,-0.568898050242234,-0.573109390968109,-0.557043040742625,-0.549242565514418,-0.564378068749576,-0.428923676440743,-0.598450521447963,-0.600425032128994,-0.573042851459745,-0.561763388454247,-0.548481372757398,-0.17668904401615,-0.533150651127342,-0.593731028025149,-0.596663223156015,-0.589957556536673,-0.0124141417125274,-0.54062695672929,-0.477400870482664,-0.539925234153382,-0.183249172162149,-0.472324810680304,-0.0829767136905411,-0.508799245581067,1.46042301974354,-0.600042563760483,-0.180831449803596,-0.106199589504717,-0.488137532817339,-0.530556814317029,NA,-0.551790581766891,-0.55772613031308,-0.69316146398132,-0.192942614484964,-0.562330271904831,-0.568274400759634,-0.559536929947759,-0.410444398054055,-0.54038773951579,-0.515251251395797,1.46600873214505
"10",-0.544701454415624,-0.548944957869274,-0.550487777454671,-0.574551240055569,-0.556769905316508,-0.568404265839619,-0.573523700484402,-0.386952816536639,-0.598450521447963,-0.600425032128994,-0.571454716910252,-0.576127413674478,-0.563743479526865,-0.226324998047169,-0.526838870135748,-0.59334753741451,-0.597408286961658,-0.590799530779803,-0.258232494325413,-0.543225276498052,-0.551033711370839,-0.530517285107065,-0.214957074802237,-0.456689293219753,0.04593467210403,-0.569898408604314,1.66450876698385,-0.601587855715494,-0.110318641225636,0.0162375456127116,-0.49357918986906,-0.541646783928081,NA,-0.538888309052798,-0.55772613031308,-0.69316146398132,-0.362683991503197,-0.563301033861649,-0.542484260220177,-0.569822892515381,-0.334622996170728,-0.544157314289524,-0.581476237518101,1.46600873214505
