"","revenue","cost.price","material.expenditures","labor.expenses","labor.costs","social.taxes","depreciation","other.expenditures","selling.expenses","management.expenses","full.cost.price","Income","other.i.e","net.profit","assets","capital.assets","fixed.assets","intangible.assets","current.assets","stock","raw.materials","unfinished.production","receivables","accounts.payable","cash","mobile.working.capital","short.term.investments","VAT.purchased","short.term.receivables","working.capital","charter.capital","short.term.liabilities","long.term.liabilities","borrowed.capital","revenue.of.the.future.periods","future.expenses","Dso","DSp","DSv","dDS","tax.on.profits","VAT","Social.tax","sector"
"17","0.015","0.008","0.003","0.003","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.004","0.000","0.003","0.033","0.002","0.001","0.000","0.044","0.001","0.001","0.001","0.029","0.011","0.003","0.001","0.002","0.000","0.035","0.028","0.025","0.006","0.000","0.008","0.000","0.000","0.004","0.012","0.006","0.006","0.001","0.002","0.001","0.000"
"18","0.016","0.007","0.003","0.002","0.002","0.001","0.002","0.001","0.000","0.000","0.008","0.005","0.000","0.005","0.031","0.002","0.001","0.000","0.038","0.001","0.001","0.000","0.025","0.008","0.004","0.002","0.003","0.000","0.024","0.036","0.030","0.010","0.000","0.007","0.000","0.000","0.003","0.015","0.006","0.007","0.002","0.002","0.001","0.000"
"19","0.008","0.007","0.003","0.002","0.002","0.000","0.002","0.001","0.000","0.000","0.006","0.005","0.000","0.004","0.032","0.002","0.001","0.000","0.029","0.001","0.001","0.000","0.024","0.006","0.004","0.001","0.002","0.000","0.019","0.020","0.024","0.006","0.000","0.008","0.000","0.000","0.004","0.014","0.007","0.006","0.001","0.002","0.001","0.000"
"20","0.013","0.009","0.004","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.008","0.005","0.000","0.005","0.043","0.002","0.001","0.000","0.035","0.002","0.001","0.000","0.028","0.010","0.005","0.001","0.003","0.000","0.032","0.021","0.030","0.011","0.000","0.008","0.000","0.000","0.004","0.011","0.007","0.004","0.001","0.002","0.000","0.000"
"21","0.014","0.009","0.003","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.007","0.006","0.000","0.005","0.044","0.002","0.001","0.000","0.033","0.002","0.001","0.000","0.036","0.010","0.004","0.001","0.004","0.000","0.022","0.026","0.036","0.011","0.000","0.006","0.000","0.000","0.004","0.013","0.008","0.006","0.001","0.002","0.001","0.000"
"22","0.016","0.010","0.003","0.002","0.002","0.000","0.002","0.001","0.000","0.000","0.008","0.006","0.000","0.003","0.036","0.002","0.001","0.000","0.036","0.001","0.001","0.000","0.028","0.009","0.003","0.002","0.003","0.000","0.025","0.027","0.028","0.010","0.000","0.009","0.000","0.000","0.003","0.013","0.007","0.007","0.001","0.001","0.001","0.000"
"23","0.013","0.008","0.002","0.003","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.004","0.035","0.002","0.001","0.000","0.033","0.002","0.001","0.000","0.026","0.008","0.005","0.001","0.003","0.000","0.024","0.027","0.037","0.008","0.000","0.009","0.000","0.000","0.004","0.011","0.005","0.007","0.001","0.002","0.001","0.000"
"24","0.012","0.009","0.004","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.007","0.005","0.000","0.003","0.032","0.003","0.001","0.000","0.034","0.002","0.001","0.001","0.026","0.007","0.003","0.001","0.002","0.000","0.029","0.028","0.028","0.008","0.000","0.007","0.000","0.000","0.004","0.014","0.008","0.007","0.001","0.002","0.001","0.000"
"25","0.013","0.009","0.004","0.002","0.002","0.000","0.001","0.001","0.000","0.000","0.009","0.006","0.000","0.005","0.043","0.002","0.001","0.000","0.043","0.001","0.001","0.000","0.032","0.009","0.004","0.001","0.003","0.000","0.019","0.028","0.028","0.007","0.000","0.009","0.000","0.000","0.004","0.016","0.007","0.006","0.001","0.001","0.001","0.000"
"26","0.014","0.007","0.003","0.002","0.002","0.001","0.001","0.001","0.000","0.000","0.009","0.005","0.000","0.004","0.046","0.002","0.001","0.000","0.026","0.002","0.001","0.000","0.028","0.007","0.004","0.001","0.002","0.000","0.032","0.026","0.023","0.006","0.000","0.005","0.000","0.000","0.004","0.015","0.006","0.005","0.001","0.002","0.001","0.000"
