Date,EUR BGN Curncy
4/1/2015 10:30,"1,0761"
4/1/2015 10:00,"1,0751"
4/1/2015 9:30,"1,0737"
4/1/2015 9:00,"1,0735"
4/1/2015 8:30,"1,0732"
4/1/2015 8:00,"1,0735"
4/1/2015 7:30,"1,0754"
4/1/2015 7:00,"1,0748"
4/1/2015 6:30,"1,0762"
4/1/2015 6:00,"1,0776"
4/1/2015 5:30,"1,0780"
4/1/2015 5:00,"1,0776"
4/1/2015 4:30,"1,0786"
4/1/2015 4:00,"1,0787"
4/1/2015 3:30,"1,0782"
4/1/2015 3:00,"1,0776"
4/1/2015 2:30,"1,0779"
4/1/2015 2:00,"1,0777"
4/1/2015 1:30,"1,0778"
4/1/2015 1:00,"1,0774"
4/1/2015 0:30,"1,0755"
4/1/2015 0:00,"1,0756"
3/31/2015 23:30,"1,0740"
3/31/2015 23:00,"1,0738"
3/31/2015 22:30,"1,0740"
3/31/2015 22:00,"1,0744"
3/31/2015 21:30,"1,0741"
3/31/2015 21:00,"1,0739"
3/31/2015 20:30,"1,0731"
3/31/2015 20:00,"1,0744"
3/31/2015 19:30,"1,0749"
3/31/2015 19:00,"1,0748"
3/31/2015 18:30,"1,0744"
3/31/2015 18:00,"1,0741"
3/31/2015 17:30,"1,0738"
3/31/2015 17:00,"1,0737"
3/31/2015 16:30,"1,0728"
3/31/2015 16:00,"1,0733"
3/31/2015 15:30,"1,0741"
3/31/2015 15:00,"1,0744"
3/31/2015 14:30,"1,0742"
3/31/2015 14:00,"1,0736"
3/31/2015 13:30,"1,0739"
3/31/2015 13:00,"1,0738"
3/31/2015 12:30,"1,0754"
3/31/2015 12:00,"1,0770"
3/31/2015 11:30,"1,0737"
3/31/2015 11:00,"1,0751"
3/31/2015 10:30,"1,0739"
3/31/2015 10:00,"1,0730"
3/31/2015 9:30,"1,0727"
3/31/2015 9:00,"1,0730"
3/31/2015 8:30,"1,0722"
3/31/2015 8:00,"1,0744"
3/31/2015 7:30,"1,0751"
3/31/2015 7:00,"1,0769"
3/31/2015 6:30,"1,0786"
3/31/2015 6:00,"1,0785"
3/31/2015 5:30,"1,0782"
3/31/2015 5:00,"1,0789"
3/31/2015 4:30,"1,0797"
3/31/2015 4:00,"1,0790"
3/31/2015 3:30,"1,0803"
3/31/2015 3:00,"1,0813"
3/31/2015 2:30,"1,0817"
3/31/2015 2:00,"1,0828"
3/31/2015 1:30,"1,0828"
3/31/2015 1:00,"1,0819"
3/31/2015 0:30,"1,0838"
3/31/2015 0:00,"1,0835"
3/30/2015 23:30,"1,0829"
3/30/2015 23:00,"1,0825"
3/30/2015 22:30,"1,0830"
3/30/2015 22:00,"1,0825"
3/30/2015 21:30,"1,0825"
3/30/2015 21:00,"1,0828"
3/30/2015 20:30,"1,0833"
3/30/2015 20:00,"1,0823"
3/30/2015 19:30,"1,0813"
3/30/2015 19:00,"1,0813"
3/30/2015 18:30,"1,0823"
3/30/2015 18:00,"1,0826"
3/30/2015 17:30,"1,0820"
3/30/2015 17:00,"1,0826"
3/30/2015 16:30,"1,0821"
3/30/2015 16:00,"1,0822"
3/30/2015 15:30,"1,0817"
3/30/2015 15:00,"1,0820"
3/30/2015 14:30,"1,0832"
3/30/2015 14:00,"1,0838"
3/30/2015 13:30,"1,0828"
3/30/2015 13:00,"1,0846"
3/30/2015 12:30,"1,0833"
3/30/2015 12:00,"1,0840"
3/30/2015 11:30,"1,0837"
3/30/2015 11:00,"1,0838"
3/30/2015 10:30,"1,0831"
3/30/2015 10:00,"1,0855"
3/30/2015 9:30,"1,0846"
3/30/2015 9:00,"1,0853"
3/30/2015 8:30,"1,0862"
3/30/2015 8:00,"1,0849"
3/30/2015 7:30,"1,0832"
3/30/2015 7:00,"1,0838"
3/30/2015 6:30,"1,0867"
3/30/2015 6:00,"1,0872"
3/30/2015 5:30,"1,0873"
3/30/2015 5:00,"1,0860"
3/30/2015 4:30,"1,0860"
3/30/2015 4:00,"1,0861"
3/30/2015 3:30,"1,0866"
3/30/2015 3:00,"1,0870"
3/30/2015 2:30,"1,0873"
3/30/2015 2:00,"1,0878"
3/30/2015 1:30,"1,0877"
3/30/2015 1:00,"1,0872"
3/30/2015 0:30,"1,0878"
3/30/2015 0:00,"1,0866"
3/29/2015 23:30,"1,0883"
3/29/2015 23:00,"1,0890"
3/29/2015 22:30,"1,0888"
3/29/2015 22:00,"1,0894"
3/29/2015 21:30,"1,0889"
3/29/2015 21:00,"1,0889"
3/29/2015 20:30,"1,0887"
3/29/2015 20:00,"1,0891"
3/29/2015 19:30,"1,0888"
3/29/2015 19:00,"1,0889"
3/29/2015 18:30,"1,0885"
3/29/2015 18:00,"1,0883"
3/27/2015 20:30,"1,0889"
3/27/2015 20:00,"1,0897"
3/27/2015 19:30,"1,0898"
3/27/2015 19:00,"1,0902"
3/27/2015 18:30,"1,0903"
3/27/2015 18:00,"1,0903"
3/27/2015 17:30,"1,0904"
3/27/2015 17:00,"1,0915"
3/27/2015 16:30,"1,0918"
3/27/2015 16:00,"1,0902"
3/27/2015 15:30,"1,0891"
3/27/2015 15:00,"1,0864"
3/27/2015 14:30,"1,0877"
3/27/2015 14:00,"1,0883"
3/27/2015 13:30,"1,0876"
3/27/2015 13:00,"1,0877"
3/27/2015 12:30,"1,0877"
3/27/2015 12:00,"1,0863"
3/27/2015 11:30,"1,0858"
3/27/2015 11:00,"1,0850"
3/27/2015 10:30,"1,0830"
3/27/2015 10:00,"1,0828"
3/27/2015 9:30,"1,0821"
3/27/2015 9:00,"1,0816"
3/27/2015 8:30,"1,0821"
3/27/2015 8:00,"1,0816"
3/27/2015 7:30,"1,0810"
3/27/2015 7:00,"1,0843"
3/27/2015 6:30,"1,0873"
3/27/2015 6:00,"1,0868"
3/27/2015 5:30,"1,0881"
3/27/2015 5:00,"1,0882"
3/27/2015 4:30,"1,0889"
3/27/2015 4:00,"1,0880"
3/27/2015 3:30,"1,0880"
3/27/2015 3:00,"1,0884"
3/27/2015 2:30,"1,0876"
3/27/2015 2:00,"1,0877"
3/27/2015 1:30,"1,0877"
3/27/2015 1:00,"1,0889"
3/27/2015 0:30,"1,0891"
3/27/2015 0:00,"1,0880"
3/26/2015 23:30,"1,0885"
3/26/2015 23:00,"1,0881"
3/26/2015 22:30,"1,0880"
3/26/2015 22:00,"1,0874"
3/26/2015 21:30,"1,0875"
3/26/2015 21:00,"1,0868"
3/26/2015 20:30,"1,0884"
3/26/2015 20:00,"1,0888"
3/26/2015 19:30,"1,0886"
3/26/2015 19:00,"1,0879"
3/26/2015 18:30,"1,0871"
3/26/2015 18:00,"1,0876"
3/26/2015 17:30,"1,0866"
3/26/2015 17:00,"1,0885"
3/26/2015 16:30,"1,0921"
3/26/2015 16:00,"1,0914"
3/26/2015 15:30,"1,0919"
3/26/2015 15:00,"1,0942"
3/26/2015 14:30,"1,0919"
3/26/2015 14:00,"1,0917"
3/26/2015 13:30,"1,0959"
3/26/2015 13:00,"1,0987"
3/26/2015 12:30,"1,0984"
3/26/2015 12:00,"1,1017"
3/26/2015 11:30,"1,0993"
3/26/2015 11:00,"1,0995"
3/26/2015 10:30,"1,1008"
3/26/2015 10:00,"1,1017"
3/26/2015 9:30,"1,1036"
3/26/2015 9:00,"1,1034"
3/26/2015 8:30,"1,1033"
3/26/2015 8:00,"1,1045"
3/26/2015 7:30,"1,1013"
3/26/2015 7:00,"1,0994"
3/26/2015 6:30,"1,0983"
3/26/2015 6:00,"1,0982"
3/26/2015 5:30,"1,0980"
3/26/2015 5:00,"1,0985"
3/26/2015 4:30,"1,0990"
3/26/2015 4:00,"1,0980"
3/26/2015 3:30,"1,0975"
3/26/2015 3:00,"1,0975"
3/26/2015 2:30,"1,0978"
3/26/2015 2:00,"1,0975"
3/26/2015 1:30,"1,0969"
3/26/2015 1:00,"1,0971"
3/26/2015 0:30,"1,0973"
3/26/2015 0:00,"1,0963"
3/25/2015 23:30,"1,0963"
3/25/2015 23:00,"1,0966"
3/25/2015 22:30,"1,0965"
3/25/2015 22:00,"1,0963"
3/25/2015 21:30,"1,0972"
3/25/2015 21:00,"1,0972"
3/25/2015 20:30,"1,0970"
3/25/2015 20:00,"1,0974"
3/25/2015 19:30,"1,0969"
3/25/2015 19:00,"1,0963"
3/25/2015 18:30,"1,0959"
3/25/2015 18:00,"1,0968"
3/25/2015 17:30,"1,0969"
3/25/2015 17:00,"1,0966"
3/25/2015 16:30,"1,0968"
3/25/2015 16:00,"1,0974"
3/25/2015 15:30,"1,0985"
3/25/2015 15:00,"1,0966"
3/25/2015 14:30,"1,0967"
3/25/2015 14:00,"1,0973"
3/25/2015 13:30,"1,0970"
3/25/2015 13:00,"1,0983"
3/25/2015 12:30,"1,0996"
3/25/2015 12:00,"1,0993"
3/25/2015 11:30,"1,0990"
3/25/2015 11:00,"1,0982"
3/25/2015 10:30,"1,0971"
3/25/2015 10:00,"1,0948"
3/25/2015 9:30,"1,0955"
3/25/2015 9:00,"1,0956"
3/25/2015 8:30,"1,0963"
3/25/2015 8:00,"1,0957"
3/25/2015 7:30,"1,0952"
3/25/2015 7:00,"1,0928"
3/25/2015 6:30,"1,0908"
3/25/2015 6:00,"1,0924"
3/25/2015 5:30,"1,0926"
3/25/2015 5:00,"1,0924"
3/25/2015 4:30,"1,0924"
3/25/2015 4:00,"1,0927"
3/25/2015 3:30,"1,0933"
3/25/2015 3:00,"1,0931"
3/25/2015 2:30,"1,0936"
3/25/2015 2:00,"1,0928"
3/25/2015 1:30,"1,0929"
3/25/2015 1:00,"1,0917"
3/25/2015 0:30,"1,0919"
3/25/2015 0:00,"1,0911"
3/24/2015 23:30,"1,0905"
3/24/2015 23:00,"1,0913"
3/24/2015 22:30,"1,0914"
3/24/2015 22:00,"1,0912"
3/24/2015 21:30,"1,0920"
3/24/2015 21:00,"1,0923"
3/24/2015 20:30,"1,0924"
3/24/2015 20:00,"1,0919"
3/24/2015 19:30,"1,0925"
3/24/2015 19:00,"1,0925"
3/24/2015 18:30,"1,0919"
3/24/2015 18:00,"1,0923"
3/24/2015 17:30,"1,0921"
3/24/2015 17:00,"1,0923"
3/24/2015 16:30,"1,0923"
3/24/2015 16:00,"1,0917"
3/24/2015 15:30,"1,0905"
3/24/2015 15:00,"1,0904"
3/24/2015 14:30,"1,0917"
3/24/2015 14:00,"1,0908"
3/24/2015 13:30,"1,0939"
3/24/2015 13:00,"1,0942"
3/24/2015 12:30,"1,0976"
3/24/2015 12:00,"1,0994"
3/24/2015 11:30,"1,0983"
3/24/2015 11:00,"1,0976"
3/24/2015 10:30,"1,0997"
3/24/2015 10:00,"1,0985"
3/24/2015 9:30,"1,0972"
3/24/2015 9:00,"1,0984"
3/24/2015 8:30,"1,0986"
3/24/2015 8:00,"1,0978"
3/24/2015 7:30,"1,0952"
3/24/2015 7:00,"1,0939"
3/24/2015 6:30,"1,0917"
3/24/2015 6:00,"1,0937"
3/24/2015 5:30,"1,0930"
3/24/2015 5:00,"1,0920"
3/24/2015 4:30,"1,0919"
3/24/2015 4:00,"1,0912"
3/24/2015 3:30,"1,0906"
3/24/2015 3:00,"1,0916"
3/24/2015 2:30,"1,0918"
3/24/2015 2:00,"1,0921"
3/24/2015 1:30,"1,0929"
3/24/2015 1:00,"1,0919"
3/24/2015 0:30,"1,0938"
3/24/2015 0:00,"1,0942"
3/23/2015 23:30,"1,0944"
3/23/2015 23:00,"1,0952"
3/23/2015 22:30,"1,0959"
3/23/2015 22:00,"1,0954"
3/23/2015 21:30,"1,0945"
3/23/2015 21:00,"1,0948"
3/23/2015 20:30,"1,0946"
3/23/2015 20:00,"1,0952"
3/23/2015 19:30,"1,0965"
3/23/2015 19:00,"1,0955"
3/23/2015 18:30,"1,0946"
3/23/2015 18:00,"1,0944"
3/23/2015 17:30,"1,0930"
3/23/2015 17:00,"1,0919"
3/23/2015 16:30,"1,0917"
3/23/2015 16:00,"1,0937"
3/23/2015 15:30,"1,0927"
3/23/2015 15:00,"1,0904"
3/23/2015 14:30,"1,0925"
3/23/2015 14:00,"1,0923"
3/23/2015 13:30,"1,0922"
3/23/2015 13:00,"1,0926"
